Species Code,Common Name,Scientific Name,Migration Note
amufal1,Amur Falcon,Falco amurensis,Spectacular passage migrant passing through Northeast India en route to Africa.
asidow1,Asian Dowitcher,Limnodromus semipalmatus,Rare winter visitor primarily found along the eastern coasts and mudflats.
ashmar1,Asian House-Martin,Delichon dasypus,Breeds in the Himalayas and winters across the plains and hills of the subcontinent.
asikoe2,Asian Koel,Eudynamys scolopaceus,"Widespread resident and local migrant, distinctly vocal during the summer breeding season."
piehar1,Pied Harrier,Circus melanoleucos,"Winters in Northeast and Peninsular India, hunting over grasslands and marshes."
barswa,Barn Swallow,Hirundo rustica,Extremely common widespread winter migrant arriving from the Palearctic.
batgod,Bar-tailed Godwit,Limosa lapponica,Long-distance coastal winter migrant found on mudflats and estuaries.
blakit,Black Kite,Milvus migrans,Abundant resident joined by large numbers of migratory subspecies in winter.
blasto1,Black Stork,Ciconia nigra,Widespread but uncommon winter migrant found near undisturbed rivers and wetlands.
blbsan1,Black-bellied Sandgrouse,Pterocles orientalis,Arid-zone winter visitor specifically to the northwestern plains of India.
bkbplo,Black-bellied Plover,Pluvialis squatarola,Coastal winter wader that arrives from its high-Arctic breeding grounds.
blckin1,Black-capped Kingfisher,Halcyon pileata,Coastal resident and local migrant largely tied to mangroves and estuaries.
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,"Widespread resident that undertakes localized, seasonal nomadic movements."
bkhgul,Black-headed Gull,Chroicocephalus ridibundus,Abundant winter visitor found in huge flocks at both inland and coastal waters.
blhibi1,Black-headed Ibis,Threskiornis melanocephalus,Resident breeder that disperses locally based on monsoon wetland conditions.
bkwsti,Black-winged Stilt,Himantopus himantopus,Common resident and local migrant that congregates at shallow wetlands.
burthr,Blue Rock-Thrush,Monticola solitarius,Widespread winter visitor found in rocky habitats and even urban buildings.
blwthr1,Blue Whistling-Thrush,Myophonus caeruleus,Altitudinal migrant moving from the high Himalayas down to the foothills in winter.
btbeat1,Blue-tailed Bee-eater,Merops philippinus,"Breeds in North and Central India, migrating to Peninsular India and Sri Lanka for winter."
butfly1,Blue-throated Flycatcher,Cyornis rubeculoides,Breeds in the Himalayan foothills and winters in the forests of South India and Sri Lanka.
blueth,Bluethroat,Luscinia svecica,Skulking winter migrant found in reeds and wetland margins across the subcontinent.
blrwar1,Blyth's Reed Warbler,Acrocephalus dumetorum,"Extremely common wintering warbler across the peninsula, known for a loud ""tschack"" call."
brasta1,Brahminy Starling,Sturnia pagodarum,Resident that exhibits significant localized seasonal movements tracking fruiting trees.
brbsan,Broad-billed Sandpiper,Calidris falcinellus,Small coastal wader that winters along the extensive mudflats of the peninsula.
brnshr,Brown Shrike,Lanius cristatus,"A dominant wintering shrike across southern India and Sri Lanka, arriving from Siberia."
bnhgul1,Brown-headed Gull,Chroicocephalus brunnicephalus,Breeds in high-altitude lakes of Ladakh/Tibet and winters heavily on the Indian coasts.
chbeat1,Chestnut-headed Bee-eater,Merops leschenaulti,Resident and local migrant found in wooded areas and forest edges.
chtsta2,Chestnut-tailed Starling,Sturnia malabarica,Highly nomadic resident and local migrant that moves in response to blooming trees.
cinbit1,Cinnamon Bittern,Botaurus cinnamomeus,Resident of wetlands that undergoes local movements driven by the monsoon rains.
comchi1,Common Chiffchaff,Phylloscopus collybita,Abundant wintering leaf-warbler in northern and central India.
comcra,Common Crane,Grus grus,"Winters in large, noisy flocks primarily in the arid plains of northwestern India."
comcuc,Common Cuckoo,Cuculus canorus,A widespread summer breeding migrant to the Himalayas and a passage migrant elsewhere.
comgre,Common Greenshank,Tringa nebularia,"Tall, elegant wader that is a widespread winter visitor to wetlands and coasts."
comkin1,Common Kingfisher,Alcedo atthis,Widespread resident that is also a localized migrant expanding its range in winter.
comqua1,Common Quail,Coturnix coturnix,Winter and local passage migrant to the grasslands and agricultural fields of the north.
comred1,Common Redshank,Tringa totanus,Very common winter migrant to both inland and coastal wetland habitats.
comsan,Common Sandpiper,Actitis hypoleucos,Ubiquitous winter migrant found solitarily along almost any water body.
comsni,Common Snipe,Gallinago gallinago,Cryptic winter visitor that probes the mud in marshes and flooded paddy fields.
comswi,Common Swift,Apus apus,A highly aerial passage migrant observed over the northwestern parts of the subcontinent.
comter,Common Tern,Sterna hirundo,Breeds in Ladakh and passes through as a wintering migrant along the coasts.
cursan,Curlew Sandpiper,Calidris ferruginea,"Flocking wader that winters on the coasts, occasionally seen inland during passage."
daured1,Daurian Redstart,Phoenicurus auroreus,Winter visitor to the brush and agricultural edges of Northeast India and the Himalayas.
dunlin,Dunlin,Calidris alpina,Plump wader that winters along the northwestern coastlines of India.
categr2,Eastern Cattle-Egret,Ardea coromanda,Ubiquitous resident that undertakes local movements tracking cattle and wet agriculture.
easmah1,Eastern Marsh Harrier,Circus spilonotus,Wintering raptor mostly seen quartering over the wetlands of eastern and northeastern India.
eaywag,Eastern Yellow Wagtail,Motacilla tschutschensis,"Widespread wintering wagtail preferring damp, grassy habitats."
egyvul1,Egyptian Vulture,Neophron percnopterus,Resident population is joined by wintering migratory birds from Central Asia.
eugori2,Eurasian Golden Oriole,Oriolus oriolus,Passage and winter migrant bringing flashes of yellow to the subcontinent's canopies.
eurgri1,Eurasian Griffon,Gyps fulvus,Large wintering vulture drawn to the plains and foothills of northern India.
hoopoe,Eurasian Hoopoe,Upupa epops,Familiar resident augmented by large numbers of wintering migrants.
eurkes,Eurasian Kestrel,Falco tinnunculus,Extremely common wintering falcon seen hovering over open country.
eurwoo,Eurasian Woodcock,Scolopax rusticola,Secretive forest wader that breeds in the Himalayas and winters in the southern hills.
eurwry,Eurasian Wryneck,Jynx torquilla,Cryptic winter visitor that behaves more like a passerine than a woodpecker.
eubeat1,European Bee-eater,Merops apiaster,Passage migrant that travels through northwestern India during its autumn migration.
eurrol1,European Roller,Coracias garrulus,Striking passage migrant that traverses the western regions of the subcontinent.
eursta,European Starling,Sturnus vulgaris,Forms large winter roosting flocks in the northwestern plains and valleys.
ferduc,Ferruginous Duck,Aythya nyroca,"Near-threatened diving duck that winters in the deep, vegetated jheels of northern India."
forwag1,Forest Wagtail,Dendronanthus indicus,Highly distinctive wagtail that winters in the shaded forests of the Western Ghats and Sri Lanka.
gadwal,Gadwall,Mareca strepera,One of the most abundant wintering dabbling ducks found on open fresh water.
gargan,Garganey,Spatula querquedula,First-to-arrive and last-to-leave wintering dabbling duck across the peninsula.
gloibi,Glossy Ibis,Plegadis falcinellus,Nomadic resident and winter migrant frequenting muddy lake margins.
graher1,Gray Heron,Ardea cinerea,"Tall, solitary resident and winter migrant standing completely still at water edges."
grywag,Gray Wagtail,Motacilla cinerea,Widespread wintering bird that strongly prefers flowing streams and rocky riverbeds.
grecor,Great Cormorant,Phalacrocorax carbo,Large resident and localized migrant seen sunning its wings on dead trees.
grcgre1,Great Crested Grebe,Podiceps cristatus,Elegant waterbird that breeds in Ladakh/Tibet and winters on large inland lakes.
greegr,Great Egret,Ardea alba,Widespread resident that shifts locally with changing water levels.
grekno,Great Knot,Calidris tenuirostris,"Important coastal wintering wader, particularly concentrated on the western mudflats."
